Glottocode	Verb_final	Free_word_order	Nominal_case	Family_ID
mafe1237	0	0	0	Austronesian
matu1259	0	1	0	Atlantic-Congo
nucl1347	0	0	0	Atlantic-Congo
pang1291	0	1	0	Austronesian
pula1262	0	0	0	Atlantic-Congo
kork1243	1	1	1	Austroasiatic
maas1239	0	0	0	Atlantic-Congo
bugh1239	0	1	0	Austronesian
luse1252	1	0	0	Atlantic-Congo
ncan1245	0	0	0	Atlantic-Congo
pamb1243	0	0	1	Atlantic-Congo
avat1244	0	0	0	Atlantic-Congo
pula1263	0	0	0	Atlantic-Congo
sobe1238	0	1	0	Austronesian
atay1247	0	0	0	Austronesian
gebe1237	0	0	0	Austronesian
kimm1246	0	0	0	Atlantic-Congo
vwan1235	0	0	1	Atlantic-Congo
alba1269	0	1	1	Austronesian
bara1361	0	0	1	Atlantic-Congo
kele1255	0	0	0	Atlantic-Congo
mara1404	0	1	0	Austronesian
nort2847	0	0	0	Austronesian
sele1249	0	0	0	Atlantic-Congo
furu1242	0	0	0	Central Sudanic
nati1244	0	0	0	Austronesian
ndun1249	0	0	0	Atlantic-Congo
telu1262	1	1	1	Dravidian
temp1235	0	0	0	Austronesian
lame1260	0	0	0	Austronesian
tien1242	0	0	0	Atlantic-Congo
buna1276	1	1	0	Austronesian
mang1404	0	1	0	Austronesian
dibo1245	0	0	0	Atlantic-Congo
keng1240	0	0	0	Central Sudanic
mong1338	0	0	0	Atlantic-Congo
sout2859	0	0	0	Austronesian
biaf1240	0	1	0	Atlantic-Congo
esan1238	0	0	0	Atlantic-Congo
laiy1246	0	1	0	Austronesian
akei1237	0	0	0	Austronesian
lave1249	0	0	0	Austroasiatic
mala1534	0	0	0	Austronesian
wara1300	0	0	1	Austronesian
ngom1268	0	0	0	Atlantic-Congo
teng1272	0	1	0	Austronesian
birr1240	1	0	0	Central Sudanic
fipa1238	0	1	0	Atlantic-Congo
kaon1241	0	1	0	Atlantic-Congo
nama1268	0	1	0	Austronesian
nuku1260	0	1	1	Austronesian
bomb1262	0	0	0	Atlantic-Congo
monz1249	0	0	0	Atlantic-Congo
tora1259	1	0	0	Austronesian
maba1270	0	0	0	Atlantic-Congo
noma1260	0	1	0	Atlantic-Congo
sham1280	0	0	0	Atlantic-Congo
balo1261	0	0	0	Atlantic-Congo
buol1237	0	0	1	Austronesian
mbug1242	0	0	0	Atlantic-Congo
sout2896	0	0	0	Austronesian
uppe1427	0	0	0	Austronesian
basa1282	0	0	0	Atlantic-Congo
eton1253	0	0	0	Atlantic-Congo
mele1250	0	0	0	Austronesian
tagw1240	1	0	0	Atlantic-Congo
weda1241	1	1	0	Austronesian
limo1248	0	0	1	Austronesian
kuii1252	1	1	1	Dravidian
jede1239	0	0	1	Austroasiatic
cong1236	0	0	0	Atlantic-Congo
mono1273	1	0	0	Austronesian
suba1238	0	1	0	Atlantic-Congo
tivv1240	0	0	0	Atlantic-Congo
east2694	0	0	1	Austronesian
yaka1269	0	0	0	Atlantic-Congo
anfi1235	1	0	0	Ta-Ne-Omotic
binu1244	0	1	0	Austronesian
iama1237	1	1	0	Austronesian
west2555	0	0	0	Austronesian
moro1287	0	1	0	Austronesian
osam1235	0	0	0	Atlantic-Congo
temb1272	0	0	0	Atlantic-Congo
ahin1234	0	0	0	Austronesian
labu1249	0	0	1	Austronesian
bata1293	0	1	0	Austronesian
aito1238	0	0	0	Tai-Kadai
bamw1238	0	0	0	Atlantic-Congo
nias1242	0	0	1	Austronesian
bong1284	0	0	0	Atlantic-Congo
buru1303	0	0	0	Austronesian
