Glottocode	AUTOTYP_area	Longitude	Latitude	Family_ID	Name
arab1267	S Australia	135.449	-28.705	pama1250	Arabana
arab1268	NE South America	-75.0612	-1.96126	zapa1251	Arabela
arab1399	Greater Mesopotamia	35.29	32.8875	sign1238	Arab El-Naim Sign Language
araf1245	N Coast New Guinea	143.298006	-5.101836	pidg1258	Arafundi-Enga Pidgin
arag1245	Europe	-0.00919	42.4669	indo1319	Aragonese
arai1239	NE South America	-67.2052	-3.104315	araw1281	Araicu
arak1252	Oceania	166.952542	-15.632997	aust1307	Araki
aral1243	Oceania	119.319	-2.78397	aust1307	Aralle-Tabulahan
aram1252	S Africa	37.3491	-2.90656	book1242	Aramanik
aram1253	S New Guinea	141.445	-8.29593	more1255	Arammba
aram1260	African Savannah	-16.373202	12.299274	atla1278	Arame-Gubaare
aran1237	N Coast New Guinea	132.983	-2.08016	sout1516	Dombano
aran1261	Indic	75.79538	11.35252	drav1251	Aranadan
aran1265	Basin and Plains	-97.38526	28.65425	uncl1493	Aranama
arao1248	NE South America	-67.7293	-12.4242	pano1259	Araona
arap1274	Basin and Plains	-108.81	43.3879	algi1248	Arapaho
arap1275	NE South America	-67.7282	0.13727	tuca1253	Arapaso
araw1272	N Coast New Guinea	145.903	-5.52787	nucl1709	Arawum
araw1273	NE South America	-52.5001	-4.90246	tupi1275	Araweté
araw1276	NE South America	-56.9243	5.64295	araw1281	Lokono
araz1236	NE South America	-70.8	-13.25	pano1259	Arazaire
arbe1236	Europe	16.7164	38.911	indo1319	Arbëreshë Albanian
arbo1245	Greater Abyssinia	36.7986	4.92183	afro1255	Arbore
arch1244	Greater Mesopotamia	46.8267	42.3239	nakh1245	Archi
arch1246	Europe	22.84	66.32	indo1319	Archaic Norrlandic
area1240	Oceania	161.158	-9.20699	aust1307	'Are'are
areb1238	N Australia	142.63107	-16.63548	pama1250	Areba
aree1239	S New Guinea	149.999	-9.67147	aust1307	Are
arem1240	Southeast Asia	105.928	17.7672	aust1305	Arem
areq1237	Andean	-72.6333	-15.1806	quec1387	Arequipa-La Unión Quechua
arge1236	SE South America	-59.1798	-34.797	sign1238	Argentine Sign Language
argo1244	Greater Abyssinia	39.756	10.6596	afro1255	Argobba
argu1237	N Coast New Guinea	132.5556	-2.645798	aust1307	Arguni
arha1237	Oceania	165.273	-21.2866	aust1307	Arhâ
arho1237	Oceania	165.161	-21.3183	aust1307	Arhö
arhu1242	NE South America	-73.6363	10.7018	chib1249	Arhuaco
arib1240	N Coast New Guinea	146.919	-6.65252	aust1307	Aribwaung
arib1241	N Coast New Guinea	146.991	-6.72266	aust1307	Aribwatsa
arif1239	S New Guinea	149.246	-9.15565	aust1307	Arifama-Miniafia
arig1246	African Savannah	5.89556	7.56324	atla1278	Arigidi
arii1243	S New Guinea	142.4	-7.95526	suki1244	Ari
arik1262	Basin and Plains	-100	45	cadd1255	Arikara
arik1264	NE South America	-63.742	-8.924	tupi1275	Arikem
arik1265	NE South America	-62.7261	-12.4878	nucl1710	Arikapú
arin1243	Inner Asia	93	57	yeni1252	Arin
arin1244	S Africa	31.3071	3.56143	cent2225	Aringa
arit1239	N Australia	142.138748	-12.50839255	pama1250	Aritinngitigh
ariz1237	Basin and Plains	-110.381389	35.836667	kiow1265	Arizona Tewa
arma1244	Andean	-76	2.03332	unat1236	Arma
arme1259	Greater Mesopotamia	44.4767	40.1002	sign1238	Armenian Sign Language
aroa1234	NE South America	-60.398433	-2.102167	araw1281	Aroaqui
arom1237	Europe	21.2	40.616	indo1319	Aromanian
arop1242	N Coast New Guinea	142.12	-3.06984	aust1307	Arop-Sissano
arop1243	N Coast New Guinea	147.103	-5.31671	aust1307	Arop-Lokep
aros1241	Oceania	161.432	-10.2441	aust1307	Arosi
arta1239	Oceania	121.656	16.4185	aust1307	Arta
arua1260	N Coast New Guinea	144.842	-4.28957	lowe1437	Aruamu
arua1261	NE South America	-62.4357	-12.1186	tupi1275	Aruá (Rondonia State)
arua1263	NE South America	-67.98	-5.5	araw1282	Aruá (Amazonas State)
arua1264	NE South America	-50.123291	-0.608631	araw1281	Aruan
arub1238	NE South America	-69.65051	11.28679	araw1281	Caquetio
arue1240	N Coast New Guinea	142.715	-3.37841	nucl1708	Aruek
aruo1240	N Coast New Guinea	142.478	-3.45782	nucl1708	Srenge
